Title,Genre,Runtime,Director,Release Date,Summary,Poster,TMDb Trailer
Musicians,Documentary,01:56:00,Tatiana Daniliyants,2017-04-06,"In this musical romance infused with folklore and rock, a group of performers from Prague shake up a mountain camp and a couples life with their arrival.",https://m.media-amazon.com/images/M/MV5BNWI0OTc0MDktMjhiZC00OTRjLWE1OWYtNzVmNGI2ZWJlODVjXkEyXkFqcGdeQXVyNDU0MDIwNjY@._V1_SX300.jpg,https://www.youtube.com/watch?v=oH_dWk6sZBc
Im Not There,"Biography, Drama, Music",00:58:00,Todd Haynes,2007-12-07,"Six actors portray Bob Dylan in scenes depicting various stages of his life, chronicling his rise from unknown folksinger to international icon.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MzM2MjcwNV5BMl5BanBnXkFtZTcwODg3MDU1MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=MFUEofAr9GA
Frankenstein Conquers the World,"Horror, Sci-Fi",00:59:00,Ishirô Honda,1966-07-08,"When Frankensteins heart gets a dose of radiation, the organ grows into a boy-turned-giant, destined to become Japans hope against the kaiju Baragon.",https://m.media-amazon.com/images/M/MV5BY2VmMzVjYzktMjBjNi00M2VmLTlkNjItNzBjNGY4ODNiMzEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_SX300.jpg,https://www.youtube.com/watch?v=1etFJUCE0zo
Tell No One,"Crime, Drama, Mystery, Romance, Thriller",01:54:00,Guillaume Canet,2006-11-01,"Dr. Alexandre Beck was the prime suspect in his wifes murder eight years before, and when two bodies turn up near his home, suspicions are renewed.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1NDcyMzY1Ml5BMl5BanBnXkFtZTcwNjc1MDY3MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=ryMVzQsTmZY
The Leisure Seeker,"Adventure, Comedy, Drama, Romance",01:57:00,Paolo Virzì,2018-01-03,"On the run from kids and obligations, a couple hits the road in an old Leisure Seeker RV and sets out for the Ernest Hemingway Home in Key West.",https://m.media-amazon.com/images/M/MV5BMTg1NTg2MzcyNF5BMl5BanBnXkFtZTgwNjMwMDIzNDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=jvx4Kmf7_gY
The Man from U.N.C.L.E.,"Action, Adventure, Comedy",00:59:00,Guy Ritchie,2015-08-14,A CIA agent and a KGB operative put their differences aside to combat a global crime organization in this droll actioner based on the 1960s TV series.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjQ4ODYyNF5BMl5BanBnXkFtZTgwODA3OTU5NTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=CzYRlISYE8Y
The Fate of the Furious,"Action, Adventure, Crime, Thriller",02:59:00,F. Gary Gray,2017-04-14,"A ruthless cyberterrorist forces Dom to turn against Letty and the crew, endangering everything theyve built. But they wont let him go so easily.",https://m.media-amazon.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=JwMKRevYa_M
The Match,"Comedy, Romance, Sport",02:51:00,Mick Davis,1999-08-13,"One football match on a dirt pitch near Rome becomes a day of reckoning as a young player, his coach and their teams owner wrestle internal demons.",https://m.media-amazon.com/images/M/MV5BNDg5ODAxMzcxOF5BMl5BanBnXkFtZTcwMjg4ODgxMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=5NdX5Mn0V7U
The Dark Knight Rises,"Action, Adventure",00:53:00,Christopher Nolan,2012-07-20,"Billionaire Bruce Wayne must once again don the cape of his alter ego, Batman, when Gotham is threatened by new foes such as Catwoman and Bane.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=7gFwvozMHR4
The Last Witch Hunter,"Action, Adventure, Fantasy",02:56:00,Breck Eisner,2015-10-23,"When a powerful coven aims to unleash a deadly plague on New York, an immortal witch hunter, a priest and a young witch must thwart the lethal plan.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5Njk5MzYzM15BMl5BanBnXkFtZTgwNzM1Mjk4NjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=xsuG2JUgs_8
The Midas Touch,Comedy,02:50:00,Chi-Keung Fung,2013-09-05,"A debt collector takes over the management of a group of starlets after their talent agent defaults on a loan, but soon finds hes in over his head.",https://images-na.ssl-images-amazon.com/images/M/MV5BYTI3ZDlhMzctOWYwZS00OTZiLWFmNTEtNDA2MTAyNmJmMWJiXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=LTDB7IXyZnA
The Other Guys,"Action, Comedy, Crime",01:59:00,Adam McKay,2010-08-06,New York cops Allen and Terry toil in obscurity as lowly desk jockeys until a big break finally gives them a chance to tackle real police work.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NDQzNTA2Ml5BMl5BanBnXkFtZTcwNzI2OTQzMw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=D6WOoUG1eNo
LOL,"Comedy, Drama, Romance",00:59:00,Lisa Azuelos,2012-03-01,"Lola and her friends struggle to elude their bewildered parents, pull off daring hookups and sow some wild oats in this coming-of-age comedy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0MjI5ODA3MjReQTJeQWpwZ15BbWU3MDI1NTE3Njc@._V1_SX300.jpg,https://www.youtube.com/watch?v=4P6mXZzY9nc
Clean Hands,"Crime, Drama, Thriller",00:51:00,Tjebbo Penning,2015-09-10,A drug dealers wife finally realizes she can no longer turn a blind eye to his violent profession when it begins to endanger their children.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3ODk4MjUxOV5BMl5BanBnXkFtZTgwMzY3MTkwNjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=YucH0KgvV0c
A Werewolf Boy,"Drama, Fantasy, Romance",02:53:00,Sung-hee Jo,2012-11-30,"After moving to the country to cope with illness, a city girl befriends a mute boy who appears to have literally been raised by wolves.",http://ia.media-imdb.com/images/M/MV5BMTQ5MjI0NDc1MV5BMl5BanBnXkFtZTgwNzkzMTAzMjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=bGyLPT6pQs8
Hungerford,"Action, Horror, Sci-Fi",02:58:00,Drew Casson,2018-04-15,"While filming his daily life for a media course, Cowen discovers his small English town may be under an ominous and otherworldly influence.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjc5Nzk3NTc2NV5BMl5BanBnXkFtZTgwMDIzODI2NTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=iTKc3pFKsL0
Seven,"Crime, Drama, Mystery, Thriller",02:57:00,David Fincher,1995-09-22,A seasoned homicide detective and his new partner are on a desperate hunt for a killer whose gruesome crimes are based on the Seven Deadly Sins.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,https://www.youtube.com/watch?v=SpKbZ_3zlb0
